upscale_scale,mode,low_text,text_threshold,roi,roi_pad,rotations,persist,accuracy,detected,total,avg_confidence
3.0,gray,0.2,0.4,True,10,"0,180",false,0.0,0,25,0.0
4.0,gray,0.2,0.4,True,10,"0,180",false,0.0,0,25,0.0
