upscale_scale,mode,low_text,text_threshold,roi,roi_pad,rotations,persist,accuracy,detected,total,avg_confidence
3.0,gray,0.2,0.4,True,10,"0,180",false,0.42,21,50,0.327271236137714
4.0,gray,0.2,0.4,True,10,"0,180",false,0.42,21,50,0.3114689683312394
